"id","name","data","created_at","updated_at"
"81","URUGUAY","225","2015-03-14 00:00:00","2015-03-14 00:00:00"
"82","VENEZUELA","226","2015-03-14 00:00:00","2015-03-14 00:00:00"
"83","SURINAME","232","2015-03-14 00:00:00","2015-03-14 00:00:00"
"84","DOMINICA","233","2015-03-14 00:00:00","2015-03-14 00:00:00"
"85","SANTA LUCIA","234","2015-03-14 00:00:00","2015-03-14 00:00:00"
"86","SAN VICENTE Y LAS GRANADINAS","235","2015-03-14 00:00:00","2015-03-14 00:00:00"
"87","BELICE","236","2015-03-14 00:00:00","2015-03-14 00:00:00"
"88","ANTIGUA Y BARBUDA","237","2015-03-14 00:00:00","2015-03-14 00:00:00"
"89","SAN CRISTOBAL Y NEVIS","238","2015-03-14 00:00:00","2015-03-14 00:00:00"
"90","BAHAMAS","239","2015-03-14 00:00:00","2015-03-14 00:00:00"
"91","GRENADA","240","2015-03-14 00:00:00","2015-03-14 00:00:00"
"92","ANTILLAS HOLANDESAS","241","2015-03-14 00:00:00","2015-03-14 00:00:00"
"93","AFGANISTAN","301","2015-03-14 00:00:00","2015-03-14 00:00:00"
"94","ARABIA SAUDITA","302","2015-03-14 00:00:00","2015-03-14 00:00:00"
"95","BAHREIN","303","2015-03-14 00:00:00","2015-03-14 00:00:00"
"96","BUTAN","305","2015-03-14 00:00:00","2015-03-14 00:00:00"
"97","CAMBOYA","306","2015-03-14 00:00:00","2015-03-14 00:00:00"
"98","SRI LANKA","307","2015-03-14 00:00:00","2015-03-14 00:00:00"
"99","COREA DEMOCRATICA","308","2015-03-14 00:00:00","2015-03-14 00:00:00"
"100","COREA REPUBLICANA","309","2015-03-14 00:00:00","2015-03-14 00:00:00"
"101","CHINA","310","2015-03-14 00:00:00","2015-03-14 00:00:00"
"102","FILIPINAS","312","2015-03-14 00:00:00","2015-03-14 00:00:00"
"103","TAIWAN","313","2015-03-14 00:00:00","2015-03-14 00:00:00"
"104","INDIA","315","2015-03-14 00:00:00","2015-03-14 00:00:00"
"105","INDONESIA","316","2015-03-14 00:00:00","2015-03-14 00:00:00"
"106","IRAQ","317","2015-03-14 00:00:00","2015-03-14 00:00:00"
"107","IRAN","318","2015-03-14 00:00:00","2015-03-14 00:00:00"
"108","ISRAEL","319","2015-03-14 00:00:00","2015-03-14 00:00:00"
"109","JAPON","320","2015-03-14 00:00:00","2015-03-14 00:00:00"
"110","JORDANIA","321","2015-03-14 00:00:00","2015-03-14 00:00:00"
"111","QATAR","322","2015-03-14 00:00:00","2015-03-14 00:00:00"
"112","KUWAIT","323","2015-03-14 00:00:00","2015-03-14 00:00:00"
"113","LAO","324","2015-03-14 00:00:00","2015-03-14 00:00:00"
"114","LIBANO","325","2015-03-14 00:00:00","2015-03-14 00:00:00"
"115","MALASIA","326","2015-03-14 00:00:00","2015-03-14 00:00:00"
"116","MALDIVAS","327","2015-03-14 00:00:00","2015-03-14 00:00:00"
"117","OMAN","328","2015-03-14 00:00:00","2015-03-14 00:00:00"
"118","MONGOLIA","329","2015-03-14 00:00:00","2015-03-14 00:00:00"
"119","NEPAL","330","2015-03-14 00:00:00","2015-03-14 00:00:00"
"120","EMIRATOS ARABES","331","2015-03-14 00:00:00","2015-03-14 00:00:00"
"121","PAQUISTAN","332","2015-03-14 00:00:00","2015-03-14 00:00:00"
"122","SINGAPUR","333","2015-03-14 00:00:00","2015-03-14 00:00:00"
"123","SIRIA","334","2015-03-14 00:00:00","2015-03-14 00:00:00"
"124","TAILANDIA","335","2015-03-14 00:00:00","2015-03-14 00:00:00"
"125","VIETNAM","337","2015-03-14 00:00:00","2015-03-14 00:00:00"
"126","HONG KONG","341","2015-03-14 00:00:00","2015-03-14 00:00:00"
"127","BANGLADESH","345","2015-03-14 00:00:00","2015-03-14 00:00:00"
"128","BRUNEI","346","2015-03-14 00:00:00","2015-03-14 00:00:00"
"129","REPUBLICA DE YEMEN","348","2015-03-14 00:00:00","2015-03-14 00:00:00"
"130","ARMENIA","349","2015-03-14 00:00:00","2015-03-14 00:00:00"
"131","AZERBAIDZHAN","350","2015-03-14 00:00:00","2015-03-14 00:00:00"
"132","GEORGIA","351","2015-03-14 00:00:00","2015-03-14 00:00:00"
"133","KAZAJISTAN","352","2015-03-14 00:00:00","2015-03-14 00:00:00"
"134","KIRGUISTAN","353","2015-03-14 00:00:00","2015-03-14 00:00:00"
"135","TAYIKISTAN","354","2015-03-14 00:00:00","2015-03-14 00:00:00"
